Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
LCS/2021 Season/Spring Season/Picks and Bans/4-6,Immortals,Cloud9,0 - 1,2,11.5,Olaf,Seraphine,Lucian,Hecarim,Nautilus,Udyr,Renekton,Tristana, Rell,Thresh, Syndra,Lillia,Nidalee,Gnar,Kayn,Gragas,Sion,Nocturne, Draven,Orianna,Top,Support,Mid,Jungle,Bot,Bot,Support,Jungle,Top,Mid,SB,https://youtu.be/u6FUzgnYC-Q
LCS/2021 Season/Spring Season/Picks and Bans/4-6,Evil Geniuses.NA,Counter Logic Gaming,1 - 0,1,11.5,Tristana,Kai'Sa,Lucian,Orianna,Olaf,Lillia,Hecarim,Renekton, Nidalee,Gnar, Rell,Nautilus,Xayah,Kalista,Azir,Syndra,Samira,Ryze, Jhin,Irelia,Jungle,Top,Support,Mid,Bot,Mid,Jungle,Support,Bot,Top,SB,https://youtu.be/bsd4Xux0bDI?t=1
LCS/2021 Season/Spring Season/Picks and Bans/4-6,100 Thieves,Team Liquid,0 - 1,2,11.5,Seraphine,Kai'Sa,Rell,Renekton,Thresh,Senna,Tristana,Xayah, Alistar,Olaf, Leona,Udyr,Gragas,Camille,Twisted Fate,Orianna,Azir,Gnar, Syndra,Gangplank,Bot,Jungle,Support,Top,Mid,Bot,Support,Jungle,Mid,Top,SB,https://youtu.be/pzjRaWneDLQ?t=273
LCS/2021 Season/Spring Season/Picks and Bans/4-6,Golden Guardians,TSM,0 - 1,2,11.5,Rell,Seraphine,Renekton,Lucian,Hecarim,Twisted Fate,Udyr,Tristana, Olaf,Xayah, Orianna,Azir,Gangplank,Gnar,Rakan,Alistar,Nautilus,Thresh, Camille,Gragas,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,SB,https://youtu.be/9T5kSjvFo_k?t=103
LCS/2021 Season/Spring Season/Picks and Bans/4-6,FlyQuest,Dignitas,0 - 1,2,11.5,Kalista,Seraphine,Gnar,Udyr,Renekton,Lillia,Hecarim,Graves, Syndra,Rell, Tristana,Alistar,Orianna,Kai'Sa,Sylas,Gangplank,Xayah,Shen, Twisted Fate,Mordekaiser,Jungle,Support,Bot,Top,Mid,Jungle,Mid,Support,Bot,Top,SB,https://youtu.be/vO8AUZKWJP8?t=938
LCS/2021 Season/Spring Season/Picks and Bans/4-6,Counter Logic Gaming,Golden Guardians,0 - 1,2,11.5,Thresh,Rell,Gangplank,Lucian,Seraphine,Renekton,Tristana,Syndra, Hecarim,Lillia, Leona,Xayah,Gnar,Galio,Gragas,Aatrox,Alistar,Sion, Viktor,Kled,Bot,Jungle,Support,Top,Mid,Mid,Jungle,Bot,Support,Top,SB,https://youtu.be/u4z5kxfmFqQ?t=256
LCS/2021 Season/Spring Season/Picks and Bans/4-6,Evil Geniuses.NA,Team Liquid,0 - 1,2,11.5,Thresh,Kai'Sa,Rell,Alistar,Udyr,Lillia,Hecarim,Tristana, Olaf,Xayah, Renekton,Gnar,Ryze,Orianna,Rakan,Azir,Leona,Galio, Neeko,Ahri,Jungle,Bot,Top,Support,Mid,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/TevTLEhBtMI?t=196
LCS/2021 Season/Spring Season/Picks and Bans/4-6,FlyQuest,100 Thieves,0 - 1,2,11.5,Olaf,Seraphine,Renekton,Thresh,Tristana,Rell,Hecarim,Kai'Sa, Udyr,Gnar, Twisted Fate,Sylas,Tahm Kench,Jayce,Vayne,Gangplank,Camille,Xayah, Rakan,Leona,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/DoweXrRuz04?t=111
LCS/2021 Season/Spring Season/Picks and Bans/4-6,Dignitas,Cloud9,0 - 1,2,11.5,Lillia,Kalista,Olaf,Seraphine,Gnar,Hecarim,Udyr,Tristana, Renekton,Gragas, Kai'Sa,Nidalee,Alistar,Lucian,Nautilus,Senna,Rell,Syndra, Sion,Orianna,Jungle,Support,Bot,Mid,Top,Bot,Top,Jungle,Support,Mid,SB,https://youtu.be/AwK4sr0UOzk?t=272
LCS/2021 Season/Spring Season/Picks and Bans/4-6,TSM,Immortals,1 - 0,1,11.5,Seraphine,Hecarim,Tristana,Olaf,Lucian,Udyr,Lillia,Orianna, Kai'Sa,Renekton, Azir,Kayn,Thresh,Gnar,Xayah,Rell,Sion,Alistar, Kalista,Nautilus,Jungle,Top,Mid,Support,Bot,Mid,Bot,Jungle,Top,Support,SB,https://youtu.be/_tFAZCzEGNI?t=479
